Order Number,Order Date,Customer ID,First Name,Last Name,Email,Address Line 1,Address Line 2,City,State,Zip,SKU#,Product Title,Variant Title 1,Variant Title 2,Line Item Price,Units,Vendor Name,Vendor ID,Status
#220001023114218,Mar/20/24 23:48:35,2200100048,Nolan,Ryan,noryan@yahoo.com.sg,305 E47th Street,,New York,NY,10017,1605112,Men's Performance Tee,Blue,Medium,25.0,1,Parabola,1234255,Confirmed
#3400100158302112,Mar/25/24 22:56:53,3401036033,Sandy,Lewin,suzzy.lewin@gmail.com,316 Central 19th Street,,New York,NY,10003,1615822,Women's Performance Tee,Grey,Medium,25.0,1,Parabola,1234255,Confirmed
#4000250115982112,Mar/26/24 02:01:53,4002731254,Jill,Kim,jkim@optusnet.com.au,118 West St,,Boston,MA,2116,1586082,Men's Spring Fleece,Blue/ White,Large,40.0,1,Parabola,1234255,Confirmed
#2000010312202112,Mar/30/24 12:51:31,2000118490,Jacobson,Mcnally,jmcnal@yahoo.com,274 N. Samuel St,Suit D-107,Rochester,NY,14607,1586082,Men's Spring Fleece,Blue/ White,Large,40.0,1,Parabola,1234255,Confirmed
#2000010312212112,Mar/30/24 12:51:31,2000118491,Jacobson,Mcnally,jmcnal@yahoo.com,2629 Paul Street,,San Francisco,CA,94123,1605112,Men's Performance Tee,Blue,Medium,25.0,1,Parabola,1234255,Confirmed
#2000010312122112,Apr/04/24 01:47:23,2000118360,Ari,Carrol,acar@gmail.com,67 Rosedale Rd,,Princeton,NJ,8540,1615822,Women's Performance Tee,Grey,Medium,25.0,3,Parabola,1234255,Confirmed
#3400100158112112,Apr/06/24 11:00:13,3401036029,Julia,Crang,crangkyj@gmail.com,1133 Mets Ave,,New York,NY,10128,1615841,Women's Performance Leggings,Green,Medium,45.0,1,Parabola,1234255,Confirmed
#3400100158112112,Apr/06/24 11:00:13,3401036029,Julia,Crang,crangkyj@gmail.com,1133 Mets Ave,,New York,NY,10128,1615816,Men's Branded Polo,Blue,Small,40.0,1,Parabola,1234255,Confirmed
#3400100158112112,Apr/06/24 11:00:13,3401036029,Julia,Crang,crangkyj@gmail.com,1133 Mets Ave,,New York,NY,10128,1615822,Women's Performance Tee,Grey,Medium,25.0,1,Parabola,1234255,Confirmed
#3400010188232112,Apr/07/24 23:28:19,3400120032,Serafino,Sadosky,sadosky@gmail.com,2655 Trae Ave,Apt 1412,Miami,FL,33140,1586082,Men's Spring Fleece,Blue/ White,Large,40.0,1,Parabola,1234255,Confirmed
#4000250115672112,Apr/15/24 11:10:08,4003107249,Karla,Boston,karla.boston@yahoo.fr,400 Alton Rd #2204,,Miami Beach,FL,33139,1615841,Women's Performance Leggings,Green,Medium,45.0,6,Parabola,1234255,Cancelled
#4000250115672112,Apr/15/24 11:10:08,4003107249,Karla,Boston,karla.boston@yahoo.fr,400 Alton Rd #2204,,Miami Beach,FL,33139,1615816,Men's Branded Polo,Blue,Small,40.0,3,Parabola,1234255,Cancelled
#3400160027082112,Apr/18/24 18:43:21,3401647391,Dee,Reynolds,paddyspub@gmail.com,408 Andrews St,Apt 1,Hoboken,NJ,7030,1512276,Women's Atheleisure Top,Red,Small,30.0,1,Parabola,1234255,Confirmed
#3400160027082112,Apr/18/24 18:43:21,3401647391,Dee,Reynolds,paddyspub@gmail.com,408 Andrews St,Apt 1,Hoboken,NJ,7030,1586082,Men's Spring Fleece,Blue/ White,Large,40.0,1,Parabola,1234255,Confirmed
#3400160027082112,Apr/18/24 18:43:21,3401647391,Dee,Reynolds,paddyspub@gmail.com,408 Andrews St,Apt 1,Hoboken,NJ,7030,1615822,Women's Performance Tee,Grey,Medium,25.0,1,Parabola,1234255,Confirmed
#3400100158452112,Apr/25/24 02:13:48,3401036043,Daniel,Mehran,dmehran201@qq.com,16 Louis W Seth Drive,,Framingham,MA,1702,1605112,Men's Performance Tee,Blue,Medium,25.0,1,Parabola,1234255,Confirmed
#3400100158452112,Apr/25/24 02:13:48,3401036043,Daniel,Mehran,dmehran201@qq.com,16 Louis W Seth Drive,,Framingham,MA,1702,1512276,Women's Atheleisure Top,Red,Small,30.0,1,Parabola,1234255,Confirmed
#3400100158452112,Apr/25/24 02:13:48,3401036043,Daniel,Mehran,dmehran201@qq.com,16 Louis W Seth Drive,,Framingham,MA,1702,1586082,Men's Spring Fleece,Blue/ White,Large,40.0,1,Parabola,1234255,Confirmed
#3400100158452112,Apr/25/24 02:13:48,3401036043,Daniel,Mehran,dmehran201@qq.com,16 Louis W Seth Drive,,Framingham,MA,1702,1603156,Unisex Branded Beanie,Grey,,20.0,1,Parabola,1234255,Confirmed
#3400100158452112,Apr/25/24 02:13:48,3401036043,Daniel,Mehran,dmehran201@qq.com,16 Louis W Seth Drive,,Framingham,MA,1702,1564242,Women's Spring Joggers,Grey,Large,40.0,3,Parabola,1234255,Confirmed
#3400100158452112,Apr/25/24 02:13:48,3401036043,Daniel,Mehran,dmehran201@qq.com,16 Louis W Seth Drive,,Framingham,MA,1702,1606526,Men's Running Socks,White,Medium,12.0,1,Parabola,1234255,Confirmed
#3400100158432112,Apr/27/24 22:55:32,3401036042,Christina,Hirsch,niceChristina@hotmail.es,1418 Sweetbeer Rd,,Charleston,WV,25314,1615822,Women's Performance Tee,Grey,Medium,25.0,1,Parabola,1234255,Confirmed
